Название товара,Цена по акции,"Размер скидки, %",Ссылка на страницу товара
Ковер Котри-Dark-Beige 200x300,18 140руб.,23,https://www.divan.ru/product/kover-kotri-dark-beige-200x300
Ковер Грик-Grey 100x180,7030руб.,43,https://www.divan.ru/product/kover-grik-grey-100x180
Ковер Вивид-Grey 160x230,6920руб.,44,https://www.divan.ru/product/kover-vivid-grey-160x230
Ковер Лунс-Grafit 200x300,7690руб.,27,https://www.divan.ru/product/kover-luns-grafit-200x300
Ковер Пато 160x230,9450руб.,21,https://www.divan.ru/product/kover-pato-160x230
Ковер Стуф-Vintage 160x230,9120руб.,24,https://www.divan.ru/product/kover-stuf-vintage-160x230
Ковер Алтос 160x230,17 480руб.,12,https://www.divan.ru/product/kover-altos-160x230
Ковер Эспо-Vintage 160x230,9120руб.,24,https://www.divan.ru/product/kover-espo-vinta-160x230
Ковер Скари 160x230,9450руб.,21,https://www.divan.ru/product/kover-skari-160x230
Ковер Конту-Vintage 160x230,9120руб.,24,https://www.divan.ru/product/kover-kontu-vintage-160x230
Ковер Вивид-White 80x150,3070руб.,64,https://www.divan.ru/product/kover-vivid-white-80x150
Ковер Винтон 80x150,4390руб.,44,https://www.divan.ru/product/kover-vinton-80x150
Ковер Кунто 160x230,9890руб.,21,https://www.divan.ru/product/kover-kunto-160x230
Ковер Флутон-White 160x230,9890руб.,19,https://www.divan.ru/product/kover-fluton-white-160x230
Ковер Lotus Home Textile Blue 160x230,14 290руб.,19,https://www.divan.ru/product/kover-lotus-home-textile-blue-160x230
Ковер Мейвори 120x180,7690руб.,31,https://www.divan.ru/product/kover-mejvori-120x180
Ковер Тут Рядом Неожиданно Графитовый 120x180,8350руб.,41,https://www.divan.ru/product/kover-tut-ryadom-neojidanno-grafitovyj-120x180
Ковер Лунар-Grey 200x300,14 290руб.,18,https://www.divan.ru/product/kover-lunar-grey-200x300
Ковер Витсанд 130x190,7690руб.,30,https://www.divan.ru/product/kover-vitsand-130x190
Ковер Финдли 200х290,27 490руб.,18,https://www.divan.ru/product/kover-findli-200h290
Ковер Веста-Гри 160x230,15 390руб.,22,https://www.divan.ru/product/kover-vesta-gri-160x230
Ковер Веста-Grey 200x290,27 160руб.,7,https://www.divan.ru/product/kover-vesta-grey-200x290
Ковер Тут Рядом Мягко Зеленый 120x180,8350руб.,41,https://www.divan.ru/product/kover-tut-ryadom-myagko-zelenyj-120x180
Ковер двусторонний Банги 80x150,4610руб.,43,https://www.divan.ru/product/kover-dvustoronnij-bangi-80150
Ковер Тут Рядом Неожиданно Сине-бежевый 160x230,13 410руб.,41,https://www.divan.ru/product/kover-tut-ryadom-neojidanno-sine-bejevyj-160x230
Ковер Тут Рядом Разнообразно Черно-серый 99x133,5710руб.,44,https://www.divan.ru/product/kover-tut-ryadom-raznoobrazno-cherno-seryj-99x133
Ковер Боник 80x150,4610руб.,43,https://www.divan.ru/product/kover-bonik-80x150
Ковер Веста-Beige 200x290,26 060руб.,8,https://www.divan.ru/product/kover-vesta-beige-200x290
Ковер Пансе 120x180,7690руб.,31,https://www.divan.ru/product/kover-panse-120x180
Ковер Рифин 160x230,15 390руб.,18,https://www.divan.ru/product/kover-rifin-160230
Ковер двусторонний Гревен 160x230,15 390руб.,18,https://www.divan.ru/product/kover-dvustoronnij-greven-160x230
Ковер Хаванна-Grey 80x150,5050руб.,31,https://www.divan.ru/product/kover-havanna-grey-80x150
Ковер Лунар-White 160x230,9890руб.,19,https://www.divan.ru/product/kover-lunar-white-160x230
Ковер Тут Рядом Неожиданно Синий 200x300,22 540руб.,41,https://www.divan.ru/product/kover-tut-ryadom-neojidanno-sinij-200x300
Ковер Пандора-Коричневый 80x150,4390руб.,45,https://www.divan.ru/product/kover-pandora-korichnevyj-80x150
Ковер Бинос 160x230,10 990руб.,19,https://www.divan.ru/product/kover-binos-160x230
Ковер Нуэл 200x300,21 990руб.,13,https://www.divan.ru/product/kover-nuel-200300
Ковер Тут Рядом Легко Синий 80x150,5160руб.,47,https://www.divan.ru/product/kover-tut-ryadom-legko-sinij-80x150
Ковер Хаванна-White 80x150,5050руб.,31,https://www.divan.ru/product/kover-havanna-white-80x150
Ковер Мэли 80x150,4390руб.,44,https://www.divan.ru/product/kover-meli-80150
Ковер Маракеш 133x190,7690руб.,30,https://www.divan.ru/product/kover-marakesh-133x190
Ковер Актис 120x180,5380руб.,39,https://www.divan.ru/product/kover-aktis-120x180
Ковер Пандора-Оранжевый 80x150,3840руб.,41,https://www.divan.ru/product/kover-pandora-oranjevyj-80x150
Ковер Юник-Гри 160x230,16 270руб.,10,https://www.divan.ru/product/kover-yunik-gri-160x230
Ковер Пандора-Голубой 120x180,7690руб.,36,https://www.divan.ru/product/kover-pandora-goluboj-120x180
Ковер двусторонний Monti Home Textile Beige 160x230,14 290руб.,19,https://www.divan.ru/product/kover-dvustoronnij-monti-home-textile-beige-160x230
Ковер двусторонний Лиссе 80x150,3840руб.,47,https://www.divan.ru/product/kover-dvustoronnij-lisse-80x150
Ковер Тут Рядом Легко Зеленый 160x230,13 630руб.,38,https://www.divan.ru/product/kover-tut-ryadom-legko-zelenyj-160x230
